trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
03c06ebc,pruned_before_deploy,,,0.5227272727272727,,,,,,8,False,,,,,4,64,7,2,stride,64,8,32,True,True,1,flatten,0.33768877648364654,bn,,adam,0.0011192154158410797,0.00013295804327466965,cosine,0.0732933850937875,5.0
59b61d53,pruned_before_deploy,,,0.5795454545454546,,,,,,8,False,,,,,4,64,7,2,stride,64,8,32,True,True,1,flatten,0.33837381704090297,bn,,adam,0.0011013790136274895,0.0001673624338906044,cosine,0.07552263122699084,5.0
5976dc98,pruned_before_deploy,,,0.5397727272727273,,,,,,8,False,,,,,4,64,7,2,stride,64,8,32,True,True,1,flatten,0.34787158001476604,bn,,adam,0.0011020834504747229,0.00016342619212219176,cosine,0.07834861744789531,5.0
c8eaaf2b,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,,pool,64,8,4,True,False,0,flatten,0.4089704020230916,tdbn,1.0451875217978852,adamw,0.0005784016562270946,0.0003457858286613479,none,0.034677935445741506,0.0
8cfcac42,pruned_before_deploy,,,0.3806818181818182,,,,,,8,False,,,,,4,32,7,2,stride,64,8,32,True,True,1,flatten,0.33889948529067665,bn,,adamw,0.0010430233198567905,0.0001848921758244516,cosine,0.031833108827802645,0.0
db145664,pruned_before_deploy,,,0.5454545454545454,,,,,,8,False,,,,,4,32,7,2,stride,64,8,32,True,True,1,flatten,0.33538757507328404,bn,,adamw,0.0011004329906005954,0.00016426664963199817,cosine,7.679089888775695e-05,0.0
f43ae5af,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,,pool,64,8,4,True,False,0,flatten,0.447271949825259,tdbn,1.0396332382552846,adamw,0.0007767958232960777,0.0003337575132623003,none,0.025534579375693457,1.0
d2edb4b2,pruned_before_deploy,,,0.4772727272727273,,,,,,8,False,,,,,4,32,7,2,stride,64,8,32,True,True,1,flatten,0.3342974524405749,bn,,adamw,0.0010777674179456805,0.00014985053014731663,cosine,0.027818891184696024,0.0
d5781805,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,,pool,64,8,6,False,False,0,flatten,0.4484863089378922,tdbn,1.2145716738572434,adamw,0.0016454090273308932,0.0004711580086646553,none,0.10140361876099019,1.0
2c0031ec,pruned_before_deploy,,,0.5170454545454546,,,,,,8,False,,,,,3,32,7,2,stride,64,16,16,False,True,1,flatten,0.33056556468567666,bn,,adam,0.001752836408741493,1.570022113056054e-05,cosine,0.11953290657690516,5.0
fb217eb2,pruned_before_deploy,,,0.5454545454545454,,,,,,8,False,,,,,2,32,7,2,stride,64,8,32,False,True,1,flatten,0.3014915016001302,bn,,adam,0.0017235863842582908,2.003104585618438e-06,none,0.02945042632820445,5.0
458a1fd1,pruned_before_deploy,,,0.7784090909090909,,,,,,24,False,,,,,2,64,7,2,stride,32,16,4,True,True,0,flatten,0.17269906596389026,tdbn,1.8042765168299235,adamw,0.0014052148171010902,0.0008730064198105646,onecycle,0.1074436002906955,1.0
6621e5cc,deployed,0.75,0.75,0.6875,-0.0625,True,0.0,0.050000011920928955,,0,False,9670965.286838429,,,,3,32,5,2,stride,32,16,2,False,False,0,flatten,0.31834293662561924,tdbn,0.9000861511111379,adamw,0.0025111117209219136,1.0008439439320268e-05,none,0.045904897293481045,1.0
07813d03,pruned_before_deploy,,,0.7215909090909091,,,,,,24,False,,,,,3,32,5,2,stride,64,16,32,False,True,1,flatten,0.10491870380270997,tdbn,0.7448909454708564,adam,0.001152263171470765,6.77450246130568e-05,cosine,0.10792025702977273,5.0
843897a2,pruned_before_deploy,,,0.6988636363636364,,,,,,24,False,,,,,3,32,5,2,stride,64,16,32,False,True,1,flatten,0.11021801430770521,tdbn,0.7543098293467714,adam,0.0010988538364776253,4.861150289409896e-05,cosine,0.11222901921977306,5.0
e615f6c2,pruned_before_deploy,,,0.6022727272727273,,,,,,8,False,,,,,3,32,5,2,stride,64,16,63,False,False,0,flatten,0.14416659851885874,tdbn,0.7819619386891321,adam,0.0007644488630695984,2.0493948382632277e-06,step,0.015264260054432752,5.0
